year,Free River,Mild Administration,Normal Administration,Senior Administration,Exceptional Administration,Total Days
2005,19,257,65,24,0,365
2006,0,212,132,21,0,365
2007,0,259,106,0,0,365
2008,0,256,110,0,0,366
2009,92,183,64,26,0,365
2010,152,118,80,15,0,365
2011,153,146,66,0,0,365
2012,86,156,58,66,0,366
2013,81,219,65,0,0,365
2014,266,87,12,0,0,365
2015,226,75,64,0,0,365
2016,159,132,75,0,0,366
2017,133,161,71,0,0,365
2018,132,120,109,4,0,365
2019,102,206,37,20,0,365
2020,146,79,97,44,0,366
2021,42,76,209,38,0,365
2022,36,123,187,19,0,365
2023,65,174,116,10,0,365
2024,64,188,36,78,0,366
2025,29,259,29,48,0,365
2026,0,124,24,0,0,148
