date,wd,regime,severity,score,priority_date,priority_admin_no,priority_structure,location_structure,water_source,date_time_set,date_time_released,year,month,doy
2005-01-01,1,Free River,0,0,,,,,,,,2005,1,1
2005-01-01,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,1
2005-01-01,69,Free River,0,0,,,,,,,,2005,1,1
2005-01-02,1,Free River,0,0,,,,,,,,2005,1,2
2005-01-02,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,2
2005-01-02,69,Free River,0,0,,,,,,,,2005,1,2
2005-01-03,1,Free River,0,0,,,,,,,,2005,1,3
2005-01-03,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,3
2005-01-03,69,Free River,0,0,,,,,,,,2005,1,3
2005-01-04,1,Free River,0,0,,,,,,,,2005,1,4
2005-01-04,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,4
2005-01-04,69,Free River,0,0,,,,,,,,2005,1,4
2005-01-05,1,Free River,0,0,,,,,,,,2005,1,5
2005-01-05,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,5
2005-01-05,69,Free River,0,0,,,,,,,,2005,1,5
2005-01-06,1,Free River,0,0,,,,,,,,2005,1,6
2005-01-06,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,6
2005-01-06,69,Free River,0,0,,,,,,,,2005,1,6
2005-01-07,1,Free River,0,0,,,,,,,,2005,1,7
2005-01-07,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,7
2005-01-07,69,Free River,0,0,,,,,,,,2005,1,7
